CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2013,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
59,Gabon,Gabon,Sub-Saharan Africa,99,14,57.8,1.4,40,0,30,2,74.2,0.7,80.1,-1.4,56.5,-1.2,63.1,3.3,77.5,-0.2,61.1,0,55,10,40,0,14.5,35,35,11.2,25.8,Gabon,1.5,$24.60 ,5.8,3.7,"$16,183 ",N/A,1.3,$728.00 ,20.5
60,Gambia,Gambia,Sub-Saharan Africa,92,11,58.8,0,30,0,35,3,75.1,0.1,82.7,-2.8,59.5,3.2,59.3,-7.9,71.1,0.1,60.5,0,65,5,50,0,14.8,35,33,13.2,24,The Gambia,1.8,$3.50 ,3.3,5.2,"$1,943 ",N/A,4.8,$36.00 ,68.8
61,Georgia,Georgia,Europe,21,11,72.2,2.8,45,5,41,3,88.2,0.4,68.9,13.1,90.6,3.7,91.1,-1,72.6,-1.8,89.2,0,75,5,60,0,0.4,20,15,23.5,32.2,Georgia,4.5,$24.50 ,7,4.7,"$5,491 ",16.3,8.5,$974.60 ,33.9
62,Germany,Germany,Europe,19,10,72.8,1.8,90,0,80,1,61.8,0.5,37.3,5.1,92.1,1.6,43.8,2.4,81.2,-2.3,86.8,-0.3,85,0,70,10,1.6,47.5,15.8,36.3,45.7,Germany,81.8,"$3,099.10 ",3.1,1.1,"$37,897 ",5.5,2.5,"$40,402.10 ",81.5
63,Ghana,Ghana,Sub-Saharan Africa,77,7,61.3,0.6,50,0,39,-2,86,4.1,52.5,4.2,61.5,-1.4,61.6,-1.3,64.8,-2.1,67.8,0,70,5,60,0,8.6,25,25,12.1,39.8,Ghana,24.3,$74.90 ,13.6,8,"$3,083 ",N/A,8.7,"$3,222.30 ",43.4
64,Greece,Greece,Europe,117,40,55.4,0,40,-10,34,-1,66.2,0.9,24.7,8.5,77.1,0.8,42.1,5.5,73.4,0.8,81.8,-0.3,65,5,50,-10,1.6,45,20,30.9,50.1,Greece,11.2,$294.30 ,-6.9,-2.2,"$26,294 ",24.4,3.1,"$1,822.90 ",160.8
65,Guatemala,Guatemala,South and Central America / Caribbean,85,16,60,-0.9,30,0,27,-5,79.6,0,93.6,-0.3,50.8,2.3,48.7,-4.8,75.5,-1.8,85.2,0.6,60,0,50,0,2.4,31,31,10.8,14.7,Guatemala,14.7,$74.70 ,3.8,3.3,"$5,070 ",4.1,6.2,$984.60 ,24.1
66,Guinea,Guinea,Sub-Saharan Africa,137,29,51.2,0.4,20,0,21,1,69.6,0.3,82.6,0,46.1,7.6,63.8,-0.9,62.8,-4.3,61.2,0,45,0,40,0,11.9,40,35,14.7,24.1,Guinea,10.6,$11.50 ,3.6,2.4,"$1,083 ",N/A,21.5,"$1,210.80 ",72.2
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,138,30,51.1,1,20,0,22,1,89.1,0.4,82,18.7,41.3,0.8,54,-7,72.7,-3.2,65.3,0,35,0,30,0,9.9,20,25,7.9,24.5,Guinea-Bissau,1.7,$1.90 ,5.3,3.6,"$1,144 ",N/A,5,$19.40 ,45.2
68,Guyana,Guyana,South and Central America / Caribbean,129,22,53.8,2.5,30,0,25,-2,67.9,3.9,61.1,9.1,66.3,0.8,75.4,10.1,75.9,-1.5,71.2,-0.3,35,5,30,0,6.9,33.3,40,22.3,36,Guyana,0.8,$5.80 ,4.2,4.2,"$7,466 ",11,5.7,$165.30 ,61.8
69,Haiti,Haiti,South and Central America / Caribbean,152,24,48.1,-2.6,10,0,18,-4,80.7,0.1,66.3,-19,33.4,0.1,63.6,-1.8,74.2,-1.8,74.8,0,30,0,30,0,5.1,30,30,11.5,33.5,Haiti,10,$12.40 ,5.6,1.4,"$1,235 ",40.6,7.4,$181.00 ,10.6
70,Honduras,Honduras,South and Central America / Caribbean,96,18,58.4,-0.4,30,0,26,2,85.3,1.6,79.2,-4.2,61,0.4,26.8,-3.2,73.9,-0.2,77.1,0,65,0,60,0,6.5,25,25,14.8,26.3,Honduras,8.2,$35.70 ,3.6,2.9,"$4,345 ",5.1,6.8,"$1,014.40 ",28.1
71,Hong Kong,HongKong,Asia-Pacific,1,1,89.3,-0.6,90,0,84,0,92.9,-0.2,88.9,-2.1,98.9,0,86.2,-0.3,82.1,-3.7,90,0,90,0,90,0,0,15,16.5,14.5,19.2,Hong Kong,7.1,$351.10 ,5,3.6,"$49,137 ",3.4,5.3,"$83,155.60 ",33.9
72,Hungary,Hungary,Europe,48,24,67.3,0.2,65,-5,46,-1,79.7,1.1,29.7,5.3,79.1,-0.7,64.4,-3.2,77.1,1,86.8,-0.3,75,5,70,0,1.6,16,19,37.6,48.4,Hungary,10,$195.60 ,1.7,-0.6,"$19,591 ",10.7,3.9,"$4,697.60 ",80.4
73,Iceland,Iceland,Europe,23,13,72.1,1.2,90,0,83,-2,72.7,-0.8,36.2,14.4,91.5,-0.5,58.9,-2,75.8,3.3,87.8,-0.4,65,0,60,0,1.1,31.8,20,36.3,46.1,Iceland,0.3,$12.40 ,3.1,-0.2,"$38,061 ",6.7,4,"$1,013.20 ",99.2
74,India,India,Asia-Pacific,119,23,55.2,0.6,50,0,31,-2,78.3,2.2,77.9,3.1,37.3,1.8,73.6,-0.6,65.3,2.4,63.6,-0.5,35,0,40,0,8.2,30.9,34,7.4,27.1,India,1206.9,"$4,457.80 ",7.2,8.1,"$3,694 ",9.8,8.6,"$31,554.00 ",68.1
75,Indonesia,Indonesia,Asia-Pacific,108,20,56.9,0.5,30,0,30,2,83.4,-0.1,89.2,-2.4,50.2,-4.4,50.8,-1.3,75.5,0.3,75,1.1,35,0,50,10,2.5,30,25,11.6,19,Indonesia,241,"$1,124.60 ",6.5,5.9,"$4,666 ",6.6,5.4,"$18,906.00 ",25
76,Iran,Iran,Middle East / North Africa,168,15,43.2,0.9,10,0,27,5,80.8,0.2,80.5,3.6,65.3,0.5,55,3.5,58,-4,45.7,0,0,0,10,0,19.6,35,25,8.4,25.5,Iran,75.9,$990.20 ,2,3.7,"$13,053 ",15.3,21.3,"$4,150.00 ",12.7
77,Iraq,Iraq,Middle East / North Africa,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,47,N/A,70.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,15,,69.8,Iraq,32.8,$127.60 ,9.9,5.1,"$3,886 ",15,6,"$1,616.70 ",86.9
78,Ireland,Ireland,Europe,11,3,75.7,-1.2,90,0,75,-5,73.8,-0.1,28.8,-1.6,83.4,-9.4,76.6,-1.8,82.8,6.1,86.8,-0.3,90,0,70,0,1.6,41,12.5,28,48.7,Ireland,4.6,$181.60 ,0.7,-1,"$39,639 ",15,1.1,"$13,102.00 ",105
79,Israel,Israel,Middle East / North Africa,51,6,66.9,-0.9,70,0,58,-3,60.2,-3.9,39.3,-1.7,66.1,1.7,63.7,-1.4,78.6,-0.4,83,-0.6,80,0,70,0,3.5,48,25,32.4,45,Israel,7.6,$235.20 ,4.7,4,"$30,975 ",6.9,3.5,"$11,374.10 ",74.3
80,Italy,Italy,Europe,83,36,60.6,1.8,50,0,39,0,55.5,0.5,25.3,5.9,76.9,-0.5,52,9,80.2,-1.8,86.8,-0.3,80,5,60,0,1.6,43,27.5,43,49.9,Italy,60.6,"$1,847.00 ",0.4,-0.6,"$30,464 ",10.7,2.9,"$29,059.40 ",120.1
81,Jamaica,Jamaica,South and Central America / Caribbean,52,9,66.8,1.7,40,0,33,0,77.5,2,67.7,9,84.3,-0.4,69.3,-0.3,76.1,3.7,75,2.9,85,0,60,0,7.5,25,33.3,22.7,32.8,Jamaica,2.7,$24.80 ,1.5,-0.5,"$9,029 ",12.6,7.5,$242.20 ,139
82,Japan,Japan,Asia-Pacific,24,6,71.8,0.2,80,0,80,2,69.2,2.1,45,-2,81.3,-0.5,80.3,-1.1,90.6,1.7,81.8,0,60,0,50,0,1.6,40,25.5,28.8,42.8,Japan,127.8,"$4,440.40 ",-0.7,-0.2,"$34,740 ",4.2,-0.3,"($1,758.30)",229.8
83,Jordan,Jordan,Middle East / North Africa,33,4,70.4,0.5,60,5,45,-2,93.6,0.1,68.8,1.8,69.2,-0.3,75.5,-0.2,82,0.8,79.6,0,70,0,60,0,5.2,14,14,15.9,32.3,Jordan,6.3,$36.90 ,2.5,5.1,"$5,900 ",12.3,4.4,"$1,469.00 ",69.8
84,Kazakhstan,Kazakhstan,Asia-Pacific,68,11,63,-0.6,35,-5,27,-2,93.2,2.8,84.5,1.1,71.8,-1.1,88.4,-0.3,72.2,0.4,78.2,-1.4,30,0,50,0,3.4,10,20,13.4,22.8,Kazakhstan,16.7,$216.80 ,7.5,5.6,"$13,001 ",5.4,8.3,"$12,910.50 ",10.9
85,Kenya,Kenya,Sub-Saharan Africa,114,18,55.9,-1.6,30,0,22,1,77.5,-0.2,73.5,-1.8,58,-3.7,57.1,-6.2,73.8,-5.3,66.7,0,50,0,50,0,9.2,30,30,21.3,29.7,Kenya,40.9,$71.40 ,5,4.3,"$1,746 ",40,14,$335.20 ,48.9
86,Kiribati,Kiribati,Asia-Pacific,163,36,45.9,-1,30,0,31,-1,71.2,-1.2,0,0,59.2,-2,78.5,-7,78.4,1.1,55.4,0,25,0,30,0,17.3,35,35,20.7,85.9,Kiribati,0.1,$0.60 ,1.8,-0.3,"$5,722 ",N/A,2.8,$3.90 ,10
87,"Korea, North",NorthKorea,Asia-Pacific,177,41,1.5,0.5,5,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,,,,,"Korea, North",24.5,N/A,N/A,N/A,N/A,N/A,N/A,$55.00 ,N/A
88,"Korea, South",SouthKorea,Asia-Pacific,34,8,70.3,0.4,70,0,54,0,73,0.2,72.8,5.6,93.6,0,48.7,-1,77.9,-1,72.6,0,70,0,70,0,8.7,38.5,24.2,25.1,30.1,"Korea, South",49,"$1,554.10 ",3.6,3.5,"$31,714 ",3.4,4,"$4,660.90 ",34.1
89,Kuwait,Kuwait,Middle East / North Africa,66,7,63.1,0.6,50,0,46,1,99.9,0,61.5,14.3,57.7,-4.1,62.8,-0.7,71.6,0.3,76.8,-4.8,55,0,50,0,4.1,0,0,2,35.8,Kuwait,3.7,$153.50 ,8.2,3.1,"$41,691 ",N/A,4.7,$398.60 ,7.3
90,Kyrgyz Republic,KyrgyzRepublic,Asia-Pacific,89,15,59.6,-0.6,20,0,21,1,94.8,1.7,56.4,-10.1,73.2,-0.9,88.6,-0.3,66.7,-4.3,75.4,12.2,50,-5,50,0,2.3,10,10,17.9,38.1,Kyrgyz Republic,5.5,$13.10 ,5.7,4.8,"$2,372 ",8.6,16.6,$693.50 ,52.4
91,Laos,Laos,Asia-Pacific,144,33,50.1,0.1,15,0,22,1,79.7,-0.1,85.8,-0.8,62.1,0.5,54.7,-1,73,-3.9,58.7,0,30,5,20,0,13.2,25,35,13.3,21.8,Laos,6.6,$17.40 ,8.3,7.9,"$2,659 ",2.5,8.7,$450.00 ,57.4
92,Latvia,Latvia,Europe,55,25,66.5,1.3,50,0,42,-1,84.4,0.1,53.6,9.8,75.7,-0.2,64.4,5.3,78.3,-0.8,86.8,-0.3,80,0,50,0,1.6,25,15,26.7,39.3,Latvia,2.2,$34.90 ,5.5,-1.7,"$15,662 ",15.4,4.2,"$1,562.10 ",37.8
93,Lebanon,Lebanon,Middle East / North Africa,91,10,59.5,-0.6,20,-5,25,0,90.8,0,74.6,6.4,50.3,-3.6,57.2,-3.4,76.5,-0.4,80.4,0,60,0,60,0,4.8,20,15,17.2,29.1,Lebanon,4,$61.40 ,1.5,6.7,"$15,523 ",N/A,5,"$3,200.00 ",136.2
94,Lesotho,Lesotho,Sub-Saharan Africa,155,38,47.9,1.3,40,0,35,0,48.2,-0.9,0,0,63.7,6.2,62.8,-2.2,75.7,0.2,69.1,0,45,10,40,0,10.5,35,25,57.7,62.1,Lesotho,1.9,$3.80 ,4.2,4.6,"$1,960 ",N/A,5.6,$52.00 ,39.6
95,Liberia,Liberia,Sub-Saharan Africa,147,33,49.3,0.7,30,0,32,-1,76.6,0,77.8,3,56.5,0.6,47.2,-3.4,72,0.2,61.4,7.6,20,0,20,0,11.8,35,25,22.2,27.2,Liberia,3.9,$1.80 ,6.4,5.7,$456 ,N/A,8.5,$508.00 ,13.9
96,Libya,Libya,Middle East / North Africa,N/A,N/A,N/A,N/A,10,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.8,N/A,85,N/A,10,N/A,20,N/A,0,15,20,4.8,N/A,Libya,6.5,$37.50 ,-61,-14.7,"$5,787 ",N/A,14.1,$0.00 ,N/A
97,Liechtenstein,Liechtenstein,Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,80,N/A,0,,12.5,,,Liechtenstein,0.036,$4.50 ,-0.5,N/A,"$124,485 ",2.2,0.7,N/A,N/A
98,Lithuania,Lithuania,Europe,22,12,72.1,0.6,60,0,48,-2,92.8,-0.8,53.6,11.9,77.6,-1.6,64.1,-0.5,78.3,-1,86.8,-0.3,80,0,80,0,1.6,15,15,16.5,39.3,Lithuania,3.3,$61.60 ,5.9,0.7,"$18,856 ",15.4,4.1,"$1,217.10 ",39
99,Luxembourg,Luxembourg,Europe,15,6,74.2,-0.3,90,0,85,0,65,1.4,47.1,0.5,74.8,-1.1,39,-1.9,79.3,-2,86.8,-0.3,95,0,80,0,1.6,41,21.8,36.7,42,Luxembourg,0.5,$41.20 ,1,1.1,"$80,119 ",5.2,3.4,"$17,530.10 ",20.8
100,Macau,Macau,Asia-Pacific,26,7,71.7,-0.1,60,0,51,1,73.5,-2.3,91.5,3.4,60,0,55,0,81.3,-2.9,90,0,85,0,70,0,0,12,39,31.4,16.8,Macau,0.57,$28.70 ,26.4,N/A,"$48,923 ",2.9,5.8,"$4,365 ",0
101,Macedonia,Macedonia,Europe,43,21,68.2,-0.3,35,0,39,-2,91.4,0.2,69.1,2.4,80.3,-0.6,78.4,-1.9,84,-2.1,84.6,1,60,0,60,0,2.7,10,10,25.7,32.1,Macedonia,2.1,$21.30 ,3,3,"$10,367 ",31.4,3.9,$421.90 ,28.1
102,Madagascar,Madagascar,Sub-Saharan Africa,73,5,62,-0.4,40,0,30,4,90,1.7,94.6,1,63.5,-7.6,47.4,-3.4,74.9,-1.1,74.6,1.1,55,0,50,0,7.7,21,21,10.8,13.5,Madagascar,21.9,$20.40 ,0.5,2,$934 ,N/A,10.6,$907.40 ,5.7
103,Malawi,Malawi,Sub-Saharan Africa,118,20,55.3,-1.1,40,-5,30,-4,78.4,-0.9,60,-2.2,41.1,-0.9,58.8,0.6,72.5,-0.1,71.8,0.9,50,0,50,0,6.6,30,30,19.1,36.5,Malawi,16.2,$13.90 ,5.5,7.8,$860 ,N/A,7.6,$56.30 ,42.5
104,Malaysia,Malaysia,Asia-Pacific,56,9,66.1,-0.3,55,5,43,-1,85.1,0.6,73.5,1,79.9,1.8,72.3,-7,79.8,-1.8,77,-1.8,45,0,50,0,4,26,25,13.8,29.7,Malaysia,28.7,$447.30 ,5.1,4.3,"$15,568 ",3.1,3.2,"$11,966.00 ",52.6
105,Maldives,Maldives,Asia-Pacific,149,34,49,-0.2,25,0,25,2,98.8,0.8,14.5,14.5,88.7,-1,64,-7.9,70.4,-4.9,43.7,0,30,-5,30,0,20.6,0,0,11,53.4,Maldives,0.3,$2.80 ,7.4,6.1,"$8,731 ",14.5,12.1,$281.60 ,69.1
106,Mali,Mali,Sub-Saharan Africa,111,17,56.4,0.6,30,0,28,1,69.6,9.5,83.9,4,50.1,-0.7,64.6,-1.9,79.9,-0.8,73.2,0,45,-5,40,0,8.4,40,35,14.6,23.2,Mali,15.9,$17.90 ,2.7,4.4,"$1,128 ",N/A,3.1,$177.80 ,30.6
107,Malta,Malta,Europe,47,23,67.5,0.5,75,5,56,0,61.2,-6.6,44.1,0.3,61.1,-8.9,65.4,5.4,80.4,-0.1,86.8,-0.3,85,10,60,0,1.6,35,35,37.8,43.2,Malta,0.4,$10.80 ,2.1,2,"$25,428 ",6.4,2.4,$538.50 ,70.9
108,Mauritania,Mauritania,Sub-Saharan Africa,134,28,52.3,-0.7,25,0,24,1,80.3,-0.2,74.7,2.8,43.3,-8,51.1,-2.1,75.1,-0.4,64.8,-5.1,45,5,40,0,10.1,33,25,16,29.1,Mauritania,3.3,$7.10 ,3.6,2.4,"$2,179 ",35,5.7,$45.20 ,92.4
109,Mauritius,Mauritius,Sub-Saharan Africa,8,1,76.9,-0.1,70,5,51,-3,92.1,0.2,81.9,-1.5,78.2,-0.5,72.3,1.9,75.4,-2.9,87.9,0,90,0,70,0,1.1,15,15,18.5,24.6,Mauritius,1.3,$19.30 ,4.1,4.5,"$14,954 ",7.8,6.5,$273.40 ,50.6
110,Mexico,Mexico,North America,50,3,67,1.7,50,0,30,-1,81.1,0.4,79.4,1.1,81.4,-0.6,59.7,-1.6,77.7,1.2,80.6,7.7,70,10,60,0,2.2,30,30,9.6,26.2,Mexico,113.7,"$1,661.60 ",4,1.4,"$14,610 ",5.3,3.4,"$19,554.40 ",43.8
111,Micronesia,Micronesia,Asia-Pacific,143,32,50.1,-0.6,30,0,30,0,97.5,-0.1,0,-3.9,54.1,-2.9,82.5,-1.2,76.1,2.7,81,0,20,0,30,0,4.5,10,3,11.9,66.9,Micronesia,0.1,$0.20 ,1.4,N/A,"$2,237 ",N/A,7.9,$7.80 ,N/A
112,Moldova,Moldova,Europe,115,39,55.5,1.1,40,0,29,0,87.2,0.7,50.1,11.4,69.7,-0.3,40.9,-0.8,73.4,-1,80,1,35,0,50,0,2.5,18,0,31,40.8,Moldova,3.6,$12.00 ,6.4,3.5,"$3,373 ",6.7,7.7,$274.00 ,23.4
113,Mongolia,Mongolia,Asia-Pacific,75,12,61.7,0.2,30,0,27,0,82.5,-6,62.6,-0.2,70.4,2.7,79.2,4.7,75.6,1.3,79.8,0,50,0,60,0,5.1,10,25,31.9,35.3,Mongolia,2.8,$13.30 ,17.3,8.1,"$4,744 ",9.9,9.5,"$4,714.60 ",41.3
114,Montenegro,Montenegro,Europe,70,33,62.6,0.1,40,0,40,3,92.4,1.1,41.5,9.8,72.7,3.5,71.4,-14.7,79.9,-1.3,83,-0.6,55,0,50,0,3.5,9,9,24.4,44.2,Montenegro,0.6,$7.20 ,2.5,3.2,"$11,545 ",11.5,3.1,$558.10 ,45.8
115,Morocco,Morocco,Middle East / North Africa,90,9,59.6,-0.6,40,0,34,0,71.4,1.7,64.3,-10.5,76.4,-0.8,30.1,2.5,78.9,1,70.8,-4.9,70,5,60,0,7.1,38,30,22.8,34.5,Morocco,32.2,$162.60 ,4.3,4.2,"$5,052 ",8.9,0.9,"$2,519.10 ",54.4
116,Mozambique,Mozambique,Sub-Saharan Africa,123,22,55,-2.1,30,0,27,0,76.2,-0.9,64.5,-4.8,63.9,-2.9,37.9,-1.8,74.7,-0.1,75.4,-5.7,50,-5,50,0,4.8,32,32,18.1,34.4,Mozambique,22,$23.90 ,7.1,6.9,"$1,085 ",N/A,10.4,"$2,093.50 ",33.2
117,Namibia,Namibia,Sub-Saharan Africa,84,9,60.3,-1.6,30,0,44,0,66.4,0.7,71.5,-1.5,68.4,-2.4,76.7,-8.3,74.9,0.5,81.5,-5,50,0,40,0,1.8,37,34,28.9,30.8,Namibia,2.1,$15.70 ,3.6,3.7,"$7,363 ",51.2,5.8,$899.70 ,21.9
118,Nepal,Nepal,Asia-Pacific,141,31,50.4,0.2,30,0,22,0,85.8,-0.2,89.2,1.1,57.2,3.6,44.3,-1.1,75.1,0.2,60.8,-0.7,10,0,30,0,12.1,25,25,13.2,18.9,Nepal,28.5,$37.80 ,3.5,4.4,"$1,328 ",46,9.6,$95.50 ,34.1
119,Netherlands,Netherlands,Europe,17,8,73.5,0.2,90,0,89,1,52.1,0.9,24.7,3.8,83,1.1,58.6,-1.4,81.1,-2.5,86.8,-0.3,90,0,80,0,1.6,52,25,38.2,50.1,Netherlands,16.7,$704.00 ,1.3,1,"$42,183 ",5.3,2.5,"$17,129.40 ",66.2
120,New Zealand,NewZealand,Asia-Pacific,4,4,81.4,-0.7,95,0,95,2,71.5,-0.1,33.2,-11.8,99.9,0,89.5,-0.4,83.3,-1.9,86.8,0,80,5,80,0,1.6,33,28,31.3,47.2,New Zealand,4.4,$122.20 ,1.4,0.7,"$27,668 ",6.6,4,"$3,369.20 ",37
121,Nicaragua,Nicaragua,South and Central America / Caribbean,110,21,56.6,-1.3,15,0,25,0,78.7,1.6,65.1,-17.9,51.2,0,62.2,-1.2,73.2,-0.8,85.4,0.5,60,5,50,0,2.3,30,30,18.3,34.1,Nicaragua,5.9,$18.90 ,4.7,2.8,"$3,206 ",8,8.1,$967.90 ,72
122,Niger,Niger,Sub-Saharan Africa,128,26,53.9,-0.4,30,0,25,-1,77,0.1,80.1,-0.4,35.2,-0.7,39.3,-1.5,85.4,-1,71.7,0,55,0,40,0,9.1,35,30,13.3,25.8,Niger,15.1,$11.60 ,2.3,4.3,$771 ,N/A,2.9,"$1,013.60 ",18.9
